startId,endId,relationType
FILE_-1230829501,IMPORTED_66657567,IMPORT
FILE_-1230829501,IMPORTED_1815484335,IMPORT
FILE_-1230829501,IMPORTED_868115472,IMPORT
FILE_-1230829501,IMPORTED_1540240509,IMPORT
FILE_-1230829501,IMPORTED_-1505992646,IMPORT
FILE_-1230829501,IMPORTED_1095750994,IMPORT
FILE_-1230829501,IMPORTED_141732585,IMPORT
FILE_-1230829501,IMPORTED_65821278,IMPORT
FILE_-1230829501,IMPORTED_327177494,IMPORT
FILE_-1230829501,IMPORTED_-463512193,IMPORT
FILE_-1230829501,CLASS_SelectLanguageAdapter_-1230829501,CONTAINS
CLASS_SelectLanguageAdapter_-1230829501,CLASS_Adapter,EXTENDS
CLASS_SelectLanguageAdapter_-1230829501,METHOD_onCreateViewHolder_CLASS_SelectLanguageAdapter_-1230829501,HAS_METHOD
CLASS_SelectLanguageAdapter_-1230829501,METHOD_onBindViewHolder_CLASS_SelectLanguageAdapter_-1230829501,HAS_METHOD
CLASS_SelectLanguageAdapter_-1230829501,METHOD_getItemCount_CLASS_SelectLanguageAdapter_-1230829501,HAS_METHOD
CLASS_SelectLanguageAdapter_-1230829501,METHOD_onClick_CLASS_SelectLanguageAdapter_-1230829501,HAS_METHOD
CLASS_SelectLanguageAdapter_-1230829501,METHOD_onItemClick_CLASS_SelectLanguageAdapter_-1230829501,HAS_METHOD
CLASS_SelectLanguageAdapter_-1230829501,VAR_mListener_CLASS_SelectLanguageAdapter_-1230829501,HAS_FIELD
CLASS_SelectLanguageAdapter_-1230829501,VAR_mIsSelected_CLASS_SelectLanguageAdapter_-1230829501,HAS_FIELD
CLASS_SelectLanguageAdapter_-1230829501,VAR_mLanguageList_CLASS_SelectLanguageAdapter_-1230829501,HAS_FIELD
CLASS_SelectLanguageAdapter_-1230829501,VAR_mLanguage_CLASS_SelectLanguageAdapter_-1230829501,HAS_FIELD
CLASS_SelectLanguageAdapter_-1230829501,VAR_divider_CLASS_SelectLanguageAdapter_-1230829501,HAS_FIELD
FILE_-1230829501,CLASS_LanguageViewHolder_-1230829501,CONTAINS
CLASS_LanguageViewHolder_-1230829501,CLASS_ViewHolder,EXTENDS
CLASS_LanguageViewHolder_-1230829501,CLASS_OnClickListener,IMPLEMENTS
CLASS_LanguageViewHolder_-1230829501,METHOD_onClick_CLASS_LanguageViewHolder_-1230829501,HAS_METHOD
CLASS_LanguageViewHolder_-1230829501,VAR_mLanguage_CLASS_LanguageViewHolder_-1230829501,HAS_FIELD
CLASS_LanguageViewHolder_-1230829501,VAR_divider_CLASS_LanguageViewHolder_-1230829501,HAS_FIELD
FILE_-1230829501,CLASS_ItemClickListener_-1230829501,CONTAINS
CLASS_ItemClickListener_-1230829501,METHOD_onItemClick_CLASS_ItemClickListener_-1230829501,HAS_METHOD
FILE_-1451673610,IMPORTED_971916631,IMPORT
FILE_-1451673610,IMPORTED_-332107860,IMPORT
FILE_-1451673610,IMPORTED_-235797930,IMPORT
FILE_-1451673610,IMPORTED_-1079201753,IMPORT
FILE_-1451673610,IMPORTED_762246857,IMPORT
FILE_-1451673610,IMPORTED_-2031792384,IMPORT
FILE_-1451673610,IMPORTED_-532301691,IMPORT
FILE_-1451673610,IMPORTED_164967213,IMPORT
FILE_-1451673610,IMPORTED_-585250216,IMPORT
FILE_-1451673610,IMPORTED_-1511793077,IMPORT
FILE_-1451673610,IMPORTED_-1171727632,IMPORT
FILE_-1451673610,IMPORTED_1021601334,IMPORT
FILE_-1451673610,IMPORTED_1762728124,IMPORT
FILE_-1451673610,IMPORTED_-1503993957,IMPORT
FILE_-1451673610,IMPORTED_-1124425936,IMPORT
FILE_-1451673610,IMPORTED_14693064,IMPORT
FILE_-1451673610,IMPORTED_1754524719,IMPORT
FILE_-1451673610,IMPORTED_-1732020098,IMPORT
FILE_-1451673610,IMPORTED_515858019,IMPORT
FILE_-1451673610,IMPORTED_-2019115480,IMPORT
FILE_-1451673610,IMPORTED_-362261361,IMPORT
FILE_-1451673610,IMPORTED_1558765019,IMPORT
FILE_-1451673610,IMPORTED_-247374844,IMPORT
FILE_-1451673610,IMPORTED_-1114099497,IMPORT
FILE_-1451673610,IMPORTED_65821278,IMPORT
FILE_-1451673610,IMPORTED_2047841669,IMPORT
FILE_-1451673610,IMPORTED_364311722,IMPORT
FILE_-1451673610,IMPORTED_66068827,IMPORT
FILE_-1451673610,IMPORTED_-1955921164,IMPORT
FILE_-1451673610,IMPORTED_-1767605960,IMPORT
FILE_-1451673610,IMPORTED_-1981316967,IMPORT
FILE_-1451673610,IMPORTED_327177494,IMPORT
FILE_-1451673610,IMPORTED_-1876567909,IMPORT
FILE_-1451673610,IMPORTED_853755484,IMPORT
FILE_-1451673610,IMPORTED_-2093369145,IMPORT
