id,type,name,filePath
FILE_1230829501,FILE,SelectLanguageAdapter.java,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
IMPORTED_66657567,IMPORT,android.view.LayoutInflater,
IMPORTED_1815484335,IMPORT,android.view.View,
IMPORTED_868115472,IMPORT,android.view.ViewGroup,
IMPORTED_1540240509,IMPORT,android.widget.TextView,
IMPORTED_-1505992646,IMPORT,androidx.annotation.NonNull,
IMPORTED_1095750994,IMPORT,androidx.core.content.ContextCompat,
IMPORTED_141732585,IMPORT,androidx.recyclerview.widget.RecyclerView,
IMPORTED_65821278,IMPORT,java.util.List,
IMPORTED_327177494,IMPORT,nic.goi.aarogyasetu.R,
IMPORTED_-463512193,IMPORT,nic.goi.aarogyasetu.models.LanguageDTO,
CLASS_SelectLanguageAdapter_-1230829501,CLASS,SelectLanguageAdapter,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
METHOD_onCreateViewHolder_CLASS_SelectLanguageAdapter_-1230829501,METHOD,onCreateViewHolder,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
METHOD_onBindViewHolder_CLASS_SelectLanguageAdapter_-1230829501,METHOD,onBindViewHolder,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
METHOD_getItemCount_CLASS_SelectLanguageAdapter_-1230829501,METHOD,getItemCount,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
METHOD_onClick_CLASS_SelectLanguageAdapter_-1230829501,METHOD,onClick,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
METHOD_onItemClick_CLASS_SelectLanguageAdapter_-1230829501,METHOD,onItemClick,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_mListener_CLASS_SelectLanguageAdapter_-1230829501,VARIABLE,mListener,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_mIsSelected_CLASS_SelectLanguageAdapter_-1230829501,VARIABLE,mIsSelected,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_mLanguageList_CLASS_SelectLanguageAdapter_-1230829501,VARIABLE,mLanguageList,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_mLanguage_CLASS_SelectLanguageAdapter_-1230829501,VARIABLE,mLanguage,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_divider_CLASS_SelectLanguageAdapter_-1230829501,VARIABLE,divider,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
CLASS_LanguageViewHolder_-1230829501,CLASS,LanguageViewHolder,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
METHOD_onClick_CLASS_LanguageViewHolder_-1230829501,METHOD,onClick,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_mLanguage_CLASS_LanguageViewHolder_-1230829501,VARIABLE,mLanguage,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
VAR_divider_CLASS_LanguageViewHolder_-1230829501,VARIABLE,divider,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
CLASS_ItemClickListener_-1230829501,CLASS,ItemClickListener,D:\APIBench\APIBench\APIBench_C\Java\Java_Code\Java_code\Android\Training\AarogyaSetu_Android\app\src\main\java\nic\goi\aarogyasetu\adapters\SelectLanguageAdapter.java
